,online_order,book_table,rate,votes,location,restrofacility,cuisines,cost for two,restro type,outlet location
145,1,0,3.8,124,other,Quick Bites,other,400,Delivery,Banashankari
146,1,0,4.1,340,other,"Takeaway, Delivery",other,500,Delivery,Banashankari
147,1,0,3.8,505,other,Quick Bites,other,450,Delivery,Banashankari
148,0,0,3.232387726934919,0,other,Quick Bites,Fast Food,100,Delivery,Banashankari
149,1,0,4.1,438,Jayanagar,Dessert Parlor,other,500,Delivery,Banashankari
150,1,0,3.7,264,other,Casual Dining,other,750,Delivery,Banashankari
151,1,0,3.9,169,other,other,other,150,Delivery,Banashankari
152,1,0,3.0,67,other,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
153,1,0,3.7,97,Jayanagar,Quick Bites,other,350,Delivery,Banashankari
154,1,0,3.3,12,other,"Takeaway, Delivery",Biryani,300,Delivery,Banashankari
155,1,0,3.3,12,other,Quick Bites,Biryani,300,Delivery,Banashankari
156,1,0,3.6,195,Jayanagar,Casual Dining,other,800,Delivery,Banashankari
157,1,0,3.3,13,other,other,other,300,Delivery,Banashankari
158,1,0,4.6,228,Jayanagar,Cafe,other,400,Delivery,Banashankari
159,1,0,4.1,70,other,Quick Bites,other,150,Delivery,Banashankari
160,1,1,4.1,364,Jayanagar,Casual Dining,other,1200,Delivery,Banashankari
161,1,0,3.7,107,other,other,other,150,Delivery,Banashankari
162,1,0,3.2,167,other,Quick Bites,other,300,Delivery,Banashankari
163,1,0,4.0,115,other,other,"Mithai, Street Food",400,Delivery,Banashankari
164,1,0,3.7,27,other,"Takeaway, Delivery",other,400,Delivery,Banashankari
165,1,0,3.5,57,other,Quick Bites,Biryani,200,Delivery,Banashankari
166,1,0,3.8,120,other,Quick Bites,other,250,Delivery,Banashankari
167,1,0,3.8,15,other,Bakery,Bakery,400,Delivery,Banashankari
168,1,0,4.2,64,other,Quick Bites,other,500,Delivery,Banashankari
169,1,0,3.6,66,other,Quick Bites,South Indian,150,Delivery,Banashankari
170,1,0,3.0,290,other,Quick Bites,other,450,Delivery,Banashankari
171,1,0,4.1,233,other,Quick Bites,other,200,Delivery,Banashankari
172,1,0,3.8,115,other,Quick Bites,other,250,Delivery,Banashankari
173,1,0,3.1,119,other,Casual Dining,other,700,Delivery,Banashankari
174,1,1,3.9,291,Jayanagar,Cafe,other,650,Delivery,Banashankari
175,1,0,4.5,155,Jayanagar,other,other,300,Delivery,Banashankari
176,1,0,4.1,305,other,Casual Dining,other,700,Delivery,Banashankari
177,1,0,3.6,46,other,Quick Bites,other,500,Delivery,Banashankari
178,1,0,3.5,45,other,Quick Bites,other,350,Delivery,Banashankari
179,1,0,3.9,38,other,Dessert Parlor,other,150,Delivery,Banashankari
180,1,0,3.9,441,other,Quick Bites,other,400,Delivery,Banashankari
181,1,0,3.9,25,other,Quick Bites,South Indian,100,Delivery,Banashankari
182,1,0,4.3,630,Jayanagar,Quick Bites,other,200,Delivery,Banashankari
183,1,0,3.8,25,other,Quick Bites,South Indian,150,Delivery,Banashankari
184,1,0,3.9,160,other,Quick Bites,other,300,Delivery,Banashankari
185,1,0,4.2,287,other,Quick Bites,North Indian,350,Delivery,Banashankari
186,1,0,3.6,11,other,Quick Bites,South Indian,100,Delivery,Banashankari
187,1,0,4.1,402,other,Cafe,Cafe,500,Delivery,Banashankari
188,1,0,3.8,469,other,Casual Dining,other,750,Delivery,Banashankari
189,1,0,3.3,511,other,Casual Dining,other,550,Delivery,Banashankari
190,1,0,3.9,57,other,Quick Bites,other,200,Delivery,Banashankari
191,1,0,3.4,14,other,Quick Bites,South Indian,300,Delivery,Banashankari
192,1,0,3.9,264,other,Quick Bites,South Indian,200,Delivery,Banashankari
193,1,0,3.0,62,other,Cafe,other,400,Delivery,Banashankari
194,1,0,3.8,693,other,Casual Dining,other,750,Delivery,Banashankari
195,1,0,3.8,242,Jayanagar,Casual Dining,other,650,Delivery,Banashankari
196,1,0,3.6,27,other,Dessert Parlor,Fast Food,250,Delivery,Banashankari
197,1,0,4.1,163,other,Quick Bites,other,500,Delivery,Banashankari
198,1,0,4.2,191,other,Quick Bites,other,250,Delivery,Banashankari
199,1,0,3.5,32,other,Quick Bites,other,150,Delivery,Banashankari
200,1,0,2.5,247,other,Casual Dining,North Indian,500,Delivery,Banashankari
201,1,1,4.1,2339,Jayanagar,Casual Dining,other,1500,Delivery,Banashankari
202,1,0,4.1,337,Jayanagar,Quick Bites,other,300,Delivery,Banashankari
203,1,0,3.9,135,other,Casual Dining,other,800,Delivery,Banashankari
204,1,0,3.6,172,other,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
205,1,0,3.6,105,other,Casual Dining,other,700,Delivery,Banashankari
206,1,0,4.2,504,other,Cafe,other,550,Delivery,Banashankari
207,1,0,3.2,36,other,Quick Bites,other,200,Delivery,Banashankari
208,1,0,3.1,39,other,Quick Bites,North Indian,300,Delivery,Banashankari
209,1,0,3.1,5,other,Casual Dining,other,500,Delivery,Banashankari
210,1,0,0.0,0,other,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
211,1,1,4.3,1129,Jayanagar,Casual Dining,other,1300,Delivery,Banashankari
212,1,0,3.9,56,other,Quick Bites,"North Indian, Chinese",350,Delivery,Banashankari
213,1,0,4.3,860,other,Dessert Parlor,"Desserts, Ice Cream",500,Delivery,Banashankari
214,1,0,3.8,412,Jayanagar,Casual Dining,other,700,Delivery,Banashankari
215,1,1,3.9,142,Jayanagar,Casual Dining,other,1000,Delivery,Banashankari
216,1,0,3.0,23,Jayanagar,Quick Bites,other,400,Delivery,Banashankari
217,1,0,3.6,143,Jayanagar,Casual Dining,other,750,Delivery,Banashankari
218,1,1,2.8,80,Jayanagar,Casual Dining,other,500,Delivery,Banashankari
219,1,0,3.6,16,JP Nagar,Casual Dining,South Indian,400,Delivery,Banashankari
220,1,0,4.4,181,Jayanagar,other,other,250,Delivery,Banashankari
221,1,0,3.8,70,Jayanagar,Quick Bites,other,200,Delivery,Banashankari
222,1,0,3.8,164,other,Quick Bites,other,600,Delivery,Banashankari
223,1,0,3.6,58,other,Quick Bites,other,650,Delivery,Banashankari
224,0,0,3.8,148,other,other,other,550,Delivery,Banashankari
225,0,0,3.9,206,other,Quick Bites,other,450,Delivery,Banashankari
226,0,0,0.0,0,other,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
227,0,0,0.0,0,JP Nagar,Dessert Parlor,other,200,Delivery,Banashankari
228,0,0,3.6,16,other,Quick Bites,South Indian,300,Delivery,Banashankari
229,0,0,3.7,217,other,Casual Dining,other,450,Delivery,Banashankari
230,0,0,3.6,46,other,Quick Bites,other,450,Delivery,Banashankari
231,0,0,3.8,148,other,Quick Bites,other,150,Delivery,Banashankari
232,0,0,3.4,30,other,Dessert Parlor,Desserts,250,Delivery,Banashankari
233,0,0,3.6,8,other,Casual Dining,other,800,Delivery,Banashankari
234,0,0,3.3,4,Jayanagar,Quick Bites,South Indian,250,Delivery,Banashankari
235,0,0,3.5,15,other,other,Bakery,400,Delivery,Banashankari
236,0,0,0.0,0,other,Quick Bites,South Indian,100,Delivery,Banashankari
237,0,0,0.0,0,other,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
238,0,0,0.0,0,Jayanagar,Quick Bites,other,200,Delivery,Banashankari
239,1,0,3.4,9,other,Quick Bites,other,200,Delivery,Banashankari
240,0,0,0.0,0,other,Quick Bites,"North Indian, Chinese, Biryani",350,Delivery,Banashankari
241,1,0,3.7,31,other,Quick Bites,"South Indian, North Indian",300,Delivery,Banashankari
242,1,0,2.9,177,Jayanagar,Casual Dining,other,700,Delivery,Banashankari
243,1,0,3.7,22,other,other,other,250,Delivery,Banashankari
244,1,0,3.5,10,other,other,other,100,Delivery,Banashankari
245,1,0,3.7,136,other,Quick Bites,other,600,Delivery,Banashankari
246,1,0,2.9,35,other,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
247,1,0,4.1,185,Jayanagar,Quick Bites,other,200,Delivery,Banashankari
248,1,0,3.2,17,Jayanagar,Cafe,other,900,Delivery,Banashankari
249,1,0,3.8,155,other,Casual Dining,other,400,Delivery,Banashankari
250,1,0,3.8,42,other,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Banashankari
251,1,0,3.8,286,other,Casual Dining,North Indian,600,Delivery,Banashankari
252,1,0,3.8,160,other,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
253,1,0,3.8,59,other,Casual Dining,"North Indian, Chinese",750,Delivery,Banashankari
254,1,0,3.5,90,Jayanagar,Casual Dining,other,500,Delivery,Banashankari
255,1,0,3.7,51,other,Quick Bites,other,350,Delivery,Banashankari
256,1,0,4.0,89,Jayanagar,Quick Bites,other,200,Delivery,Banashankari
257,1,0,3.6,18,other,Quick Bites,other,250,Delivery,Banashankari
258,1,0,3.9,40,other,Casual Dining,other,600,Delivery,Banashankari
259,1,0,2.5,35,other,Quick Bites,Fast Food,200,Delivery,Banashankari
260,1,0,3.4,89,Jayanagar,Quick Bites,other,250,Delivery,Banashankari
261,1,0,3.2,11,other,Quick Bites,other,150,Delivery,Banashankari
262,1,0,3.6,62,other,other,other,600,Delivery,Banashankari
263,1,0,3.9,33,Jayanagar,Dessert Parlor,Desserts,300,Delivery,Banashankari
264,1,0,3.8,32,Jayanagar,other,other,250,Delivery,Banashankari
265,1,0,4.1,139,Jayanagar,Casual Dining,other,550,Delivery,Banashankari
266,1,0,3.2,154,other,Quick Bites,Fast Food,300,Delivery,Banashankari
267,1,0,3.6,14,other,Bakery,"Bakery, Desserts",350,Delivery,Banashankari
268,1,0,3.7,237,other,Quick Bites,other,200,Delivery,Banashankari
269,1,0,3.9,388,other,Casual Dining,other,650,Delivery,Banashankari
270,1,0,3.232387726934919,0,Jayanagar,Quick Bites,other,300,Delivery,Banashankari
271,1,0,3.9,128,other,Casual Dining,other,500,Delivery,Banashankari
272,1,1,4.1,1875,Jayanagar,Casual Dining,other,1200,Delivery,Banashankari
273,1,0,3.8,90,other,Cafe,Cafe,650,Delivery,Banashankari
274,1,0,3.1,7,other,Quick Bites,other,250,Delivery,Banashankari
275,1,0,3.7,38,other,Casual Dining,"South Indian, North Indian",400,Delivery,Banashankari
276,1,0,4.2,179,other,Delivery,other,600,Delivery,Banashankari
277,1,0,4.0,43,other,Dessert Parlor,"Desserts, Ice Cream",250,Delivery,Banashankari
278,1,0,4.3,275,other,Quick Bites,South Indian,100,Delivery,Banashankari
279,1,0,3.7,323,Jayanagar,Casual Dining,other,850,Delivery,Banashankari
280,1,0,3.1,28,other,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Banashankari
281,1,0,3.9,18,other,Quick Bites,other,200,Delivery,Banashankari
282,1,0,3.3,6,other,Quick Bites,other,100,Delivery,Banashankari
283,1,0,0.0,0,other,Dessert Parlor,other,100,Delivery,Banashankari
284,1,0,4.3,322,Jayanagar,Casual Dining,South Indian,400,Delivery,Banashankari
285,1,0,2.6,157,Jayanagar,Cafe,other,450,Delivery,Banashankari
286,1,0,3.9,543,other,Quick Bites,other,300,Delivery,Banashankari
287,1,0,3.7,180,other,Cafe,other,500,Delivery,Banashankari
288,1,0,4.2,444,other,Quick Bites,South Indian,100,Delivery,Banashankari
289,1,0,3.9,134,Jayanagar,Quick Bites,other,400,Delivery,Banashankari
290,1,0,3.8,577,Jayanagar,Casual Dining,other,900,Delivery,Banashankari
291,1,0,4.2,60,other,Quick Bites,other,200,Delivery,Banashankari
292,1,0,3.9,144,Jayanagar,Casual Dining,other,550,Delivery,Banashankari
293,1,0,4.1,787,other,Casual Dining,other,800,Delivery,Banashankari
294,1,0,3.6,16,other,Quick Bites,South Indian,200,Delivery,Banashankari
295,1,0,3.6,84,other,Quick Bites,"South Indian, North Indian, Chinese",250,Delivery,Banashankari
296,1,0,3.6,95,other,Quick Bites,other,150,Delivery,Banashankari
297,1,1,4.0,349,other,Casual Dining,other,1200,Delivery,Banashankari
298,1,0,3.7,248,other,Quick Bites,other,400,Delivery,Banashankari
299,1,0,4.1,216,other,Cafe,other,500,Delivery,Banashankari
300,1,0,0.0,0,other,Casual Dining,Biryani,400,Delivery,Banashankari
301,1,0,4.0,324,other,Cafe,other,700,Delivery,Banashankari
302,1,0,2.6,231,other,Quick Bites,other,400,Delivery,Banashankari
303,1,0,3.4,102,other,Casual Dining,other,400,Delivery,Banashankari
304,1,0,3.9,133,other,Cafe,other,800,Delivery,Banashankari
305,1,0,2.8,45,other,Casual Dining,other,800,Delivery,Banashankari
306,1,0,3.9,149,other,Quick Bites,other,300,Delivery,Banashankari
307,1,0,3.8,75,other,Quick Bites,other,200,Delivery,Banashankari
308,1,0,4.0,53,other,Delivery,other,600,Delivery,Banashankari
309,1,1,4.2,815,Jayanagar,Casual Dining,"North Indian, Chinese",900,Delivery,Banashankari
310,1,1,4.0,633,other,Casual Dining,"North Indian, Chinese",800,Delivery,Banashankari
311,1,0,3.5,56,Jayanagar,Dessert Parlor,other,400,Delivery,Banashankari
312,1,0,3.0,82,other,Quick Bites,other,300,Delivery,Banashankari
313,1,0,3.7,35,Jayanagar,Quick Bites,Fast Food,200,Delivery,Banashankari
314,1,0,3.6,20,other,Quick Bites,other,150,Delivery,Banashankari
315,1,0,3.1,14,other,Quick Bites,other,250,Delivery,Banashankari
316,1,0,3.9,70,other,Dessert Parlor,other,400,Delivery,Banashankari
317,1,0,3.9,91,Jayanagar,Cafe,other,300,Delivery,Banashankari
318,1,0,3.6,45,Jayanagar,Quick Bites,Biryani,200,Delivery,Banashankari
319,1,0,3.4,7,other,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
320,1,0,3.8,28,other,Quick Bites,Fast Food,150,Delivery,Banashankari
321,1,0,3.6,24,other,Casual Dining,"North Indian, Chinese",600,Delivery,Banashankari
322,1,0,3.8,36,other,Dessert Parlor,other,200,Delivery,Banashankari
323,1,0,3.5,11,Jayanagar,Quick Bites,Fast Food,200,Delivery,Banashankari
324,1,0,3.8,77,other,Cafe,other,650,Delivery,Banashankari
325,1,0,3.2,8,other,other,"Mithai, Street Food",100,Delivery,Banashankari
326,1,0,3.7,14,Jayanagar,Quick Bites,South Indian,100,Delivery,Banashankari
327,1,0,3.8,210,other,Casual Dining,other,600,Delivery,Banashankari
328,1,0,4.1,130,Jayanagar,Cafe,other,650,Delivery,Banashankari
329,1,0,4.1,30,Jayanagar,other,other,100,Delivery,Banashankari
330,1,0,3.8,144,other,Cafe,other,700,Delivery,Banashankari
331,1,0,3.4,11,other,other,other,800,Delivery,Banashankari
332,1,0,3.7,133,Jayanagar,Casual Dining,other,700,Delivery,Banashankari
333,1,0,4.0,136,Jayanagar,Quick Bites,other,350,Delivery,Banashankari
334,1,0,3.1,4,other,Quick Bites,"South Indian, North Indian, Chinese",200,Delivery,Banashankari
335,1,0,3.5,11,other,other,other,200,Delivery,Banashankari
336,1,0,3.8,74,other,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Banashankari
337,1,0,3.7,30,other,Quick Bites,other,300,Delivery,Banashankari
338,1,0,3.0,7,other,Quick Bites,other,200,Delivery,Banashankari
339,1,0,3.8,75,other,other,other,200,Delivery,Banashankari
340,1,0,3.7,54,other,Cafe,other,600,Delivery,Banashankari
341,1,0,3.6,23,other,other,other,100,Delivery,Banashankari
342,1,0,3.2,119,other,Casual Dining,"North Indian, Chinese",400,Delivery,Banashankari
343,1,0,3.7,73,other,Quick Bites,other,400,Delivery,Banashankari
344,1,0,3.4,58,other,Cafe,other,400,Delivery,Banashankari
345,1,0,3.6,129,other,Casual Dining,other,600,Delivery,Banashankari
346,1,0,3.6,24,other,Quick Bites,other,250,Delivery,Banashankari
347,1,0,3.0,175,other,Quick Bites,"Chinese, North Indian",400,Delivery,Banashankari
348,1,0,3.7,21,other,Quick Bites,South Indian,300,Delivery,Banashankari
349,1,0,3.5,41,other,other,other,400,Delivery,Banashankari
350,1,0,3.6,35,Jayanagar,Quick Bites,other,300,Delivery,Banashankari
351,1,0,4.1,176,other,Casual Dining,other,800,Delivery,Banashankari
352,1,0,3.5,45,other,other,other,300,Delivery,Banashankari
353,1,0,3.7,47,Jayanagar,other,other,400,Delivery,Banashankari
354,1,1,3.7,36,Jayanagar,Casual Dining,other,650,Delivery,Banashankari
355,1,0,3.8,52,other,other,other,400,Delivery,Banashankari
356,1,0,2.7,123,other,Quick Bites,Fast Food,200,Delivery,Banashankari
357,1,0,3.6,59,other,Casual Dining,North Indian,700,Delivery,Banashankari
358,1,0,3.2,4,other,Quick Bites,other,300,Delivery,Banashankari
359,1,0,3.8,101,other,Quick Bites,other,400,Delivery,Banashankari
360,1,0,3.7,54,other,other,other,400,Delivery,Banashankari
361,1,0,0.0,0,other,Quick Bites,South Indian,200,Delivery,Banashankari
362,1,0,3.6,22,other,Quick Bites,Fast Food,200,Delivery,Banashankari
363,1,0,3.1,31,other,other,other,250,Delivery,Banashankari
